Shoe_Size,Study_Hour,Chilling_Hours,IQ_Score
13.5,2.0,17.7,72
8.0,18.0,5.0,75
6.4,7.2,22.7,78
6.9,8.7,6.6,110
10.5,8.6,5.8,104
6.8,4.8,18.1,76
5.5,7.9,24.3,80
9.6,12.6,15.7,109
9.1,5.6,24.3,73
6.7,14.6,13.1,110
9.7,14.2,20.9,98
10.4,13.7,14.0,109
7.7,11.9,23.2,95
12.5,8.3,13.3,95
7.6,9.4,16.8,95
11.4,4.6,7.9,96
5.6,12.2,12.9,107
8.4,12.3,24.3,87
12.1,6.4,17.3,77
6.4,2.7,23.2,70
13.7,5.4,20.6,78
13.6,5.3,10.0,87
18.0,10.0,15.0,98
6.3,2.2,22.8,70
11.6,2.4,5.1,90
5.4,4.9,7.7,89
9.5,2.0,35.0,145
10.4,10.6,25.4,86
13.7,14.8,27.7,88
8.3,1.6,19.0,70
6.5,3.0,20.9,70
5.2,10.3,26.6,86
7.6,3.7,24.0,70
8.9,13.5,27.2,77
10.5,13.9,8.0,116
12.8,1.5,6.9,93
6.6,3.6,12.8,84
10.3,6.0,5.6,102